date,chlor_a
2012-01-02,NA
2012-02-01,NA
2012-03-01,NA
2012-04-01,NA
2012-05-01,NA
2012-06-01,NA
2012-07-01,NA
2012-08-01,NA
2012-09-01,NA
2012-10-01,NA
2012-11-01,NA
2012-12-01,NA
2013-01-01,NA
2013-02-01,NA
2013-03-01,NA
2013-04-01,NA
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,NA
2013-10-01,NA
2013-11-01,NA
2013-12-01,NA
2014-01-01,NA
2014-02-01,NA
2014-03-01,NA
2014-04-01,NA
2014-05-01,NA
2014-06-01,NA
2014-07-01,NA
2014-08-01,NA
2014-09-01,NA
2014-10-01,NA
2014-11-01,NA
2014-12-01,NA
2015-01-01,NA
2015-02-01,NA
2015-03-01,NA
2015-04-01,NA
2015-05-01,NA
2015-06-01,NA
2015-07-01,NA
2015-08-01,NA
2015-09-01,NA
2015-10-01,NA
2015-11-01,NA
2015-12-01,NA
2016-01-01,NA
2016-02-01,NA
2016-03-01,NA
2016-04-01,NA
2016-05-01,NA
2016-06-01,NA
2016-07-01,NA
2016-08-01,NA
2016-09-01,NA
2016-10-01,NA
2016-11-01,NA
2016-12-01,NA
2017-01-01,NA
2017-02-01,NA
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-02,NA
2017-08-01,NA
2017-09-01,NA
2017-10-01,NA
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,NA
2018-03-01,NA
2018-04-01,NA
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,NA
2018-12-01,NA
2019-01-01,NA
2019-02-01,NA
2019-03-01,NA
2019-04-01,NA
2019-05-01,NA
2019-06-01,NA
2019-07-01,NA
2019-08-01,NA
2019-09-01,NA
2019-10-01,NA
2019-10-02,2.075000047683716
2019-10-03,2.075000047683716
2019-10-04,2.075000047683716
2019-10-05,NaN
2019-10-06,NaN
2019-10-07,NaN
2019-10-08,NaN
2019-10-09,NaN
2019-10-10,NaN
2019-10-11,NaN
2019-10-12,NaN
2019-10-13,NaN
2019-10-14,NaN
2019-10-15,NaN
2019-10-16,NaN
2019-10-17,NaN
2019-10-18,3.0369999408721924
2019-10-19,3.0369999408721924
2019-10-20,3.0369999408721924
2019-10-21,3.0369999408721924
2019-10-22,3.0369999408721924
2019-10-23,3.0369999408721924
2019-10-24,3.0369999408721924
2019-10-25,NaN
2019-10-26,NaN
2019-10-27,NaN
2019-10-28,NaN
2019-10-29,NaN
2019-10-30,NaN
2019-10-31,NaN
2019-11-01,NaN
2019-11-02,NaN
2019-11-03,NaN
2019-11-04,NaN
2019-11-05,NaN
2019-11-06,NaN
2019-11-07,NaN
2019-11-08,NaN
2019-11-09,NaN
2019-11-10,26.797000885009766
2019-11-11,26.797000885009766
2019-11-12,26.797000885009766
2019-11-13,26.797000885009766
2019-11-14,26.797000885009766
2019-11-15,26.797000885009766
2019-11-16,26.797000885009766
2019-11-17,NaN
2019-11-18,NaN
2019-11-19,NaN
2019-11-20,NaN
2019-11-21,NaN
2019-11-22,NaN
2019-11-23,NaN
2019-11-24,2.7139999866485596
2019-11-25,2.7139999866485596
2019-11-26,2.7139999866485596
2019-11-27,2.7139999866485596
2019-11-28,2.7139999866485596
2019-11-29,2.7139999866485596
2019-11-30,2.7139999866485596
2019-12-01,NaN
2019-12-02,NaN
2019-12-03,NaN
2019-12-04,NaN
2019-12-05,NaN
2019-12-06,NaN
2019-12-07,NaN
2019-12-08,NaN
2019-12-09,NaN
2019-12-10,NaN
2019-12-11,NaN
2019-12-12,NaN
2019-12-13,NaN
2019-12-14,NaN
2019-12-15,NaN
2019-12-16,NaN
2019-12-17,NaN
2019-12-18,NaN
2019-12-19,NaN
2019-12-20,NaN
2019-12-21,NaN
2019-12-22,NaN
2019-12-23,NaN
2019-12-24,NaN
2019-12-25,NaN
2019-12-26,NaN
2019-12-27,NaN
2019-12-28,NaN
2019-12-29,NaN
2019-12-30,NaN
2020-01-03,NaN
2020-01-04,NaN
2020-01-05,NaN
2020-01-06,NaN
2020-01-07,NaN
2020-01-08,NaN
2020-01-09,NaN
2020-01-10,NaN
2020-01-11,5.1579999923706055
2020-01-12,5.1579999923706055
2020-01-13,5.1579999923706055
2020-01-14,5.1579999923706055
2020-01-15,5.1579999923706055
2020-01-23,NaN
2020-01-24,NaN
2020-01-25,NaN
2020-01-26,NaN
2020-01-27,NaN
2020-01-28,NaN
2020-01-29,NaN
2020-01-30,NaN
2020-01-31,NaN
2020-02-01,NaN
2020-02-02,NaN
2020-02-03,NaN
2020-02-04,NaN
2020-02-05,NaN
2020-02-06,7.303999900817871
2020-02-07,7.303999900817871
2020-02-08,7.303999900817871
2020-02-09,7.303999900817871
2020-02-10,7.303999900817871
2020-02-11,7.303999900817871
2020-02-12,7.303999900817871
2020-02-13,NaN
2020-02-14,NaN
2020-02-15,NaN
2020-02-16,NaN
2020-02-17,NaN
2020-02-18,NaN
2020-02-19,NaN
2020-02-20,NaN
2020-02-21,NaN
2020-02-22,NaN
2020-02-23,NaN
2020-02-24,NaN
2020-02-25,NaN
2020-02-26,NaN
2020-02-27,NaN
2020-02-28,NaN
2020-02-29,NaN
2020-03-01,NaN
2020-03-02,NaN
