date,chlor_a
2012-01-02,1.382081151008606
2012-02-01,2.094453811645508
2012-03-01,3.200761318206787
2012-04-01,5.282373905181885
2012-05-01,2.958022117614746
2012-06-01,3.805851459503174
2012-07-01,2.6171698570251465
2012-08-01,1.6255533695220947
2012-09-01,2.195788621902466
2012-10-01,3.2427046298980713
2012-11-01,2.083050489425659
2012-12-01,1.5982494354248047
2013-01-01,1.7297767400741577
2013-02-01,3.63714337348938
2013-03-01,3.387749433517456
2013-04-01,5.578281402587891
2013-05-01,3.0221328735351562
2013-06-01,4.787336349487305
2013-07-01,NA
2013-08-01,1.4262454509735107
2013-09-01,1.8046549558639526
2013-10-01,1.881679892539978
2013-11-01,1.8097530603408813
2013-12-01,1.8905857801437378
2014-01-01,2.1460936069488525
2014-02-01,2.679964065551758
2014-03-01,3.0132832527160645
2014-04-01,3.6131370067596436
2014-05-01,3.963515043258667
2014-06-01,4.623387336730957
2014-07-01,2.295214891433716
2014-08-01,1.4719887971878052
2014-09-01,1.9828492403030396
2014-10-01,NA
2014-11-01,2.1324546337127686
2014-12-01,2.16334867477417
2015-01-01,1.8197921514511108
2015-02-01,3.4680979251861572
2015-03-01,3.1511950492858887
2015-04-01,3.936460018157959
2015-05-01,3.2981812953948975
2015-06-01,3.0916900634765625
2015-07-01,2.349949598312378
2015-08-01,1.6685853004455566
2015-09-01,1.147441029548645
2015-10-01,1.9707919359207153
2015-11-01,NA
2015-12-01,2.541195869445801
2016-01-01,2.1547603607177734
2016-02-01,2.557690382003784
2016-03-01,3.038585901260376
2016-04-01,3.850989580154419
2016-05-01,4.305366039276123
2016-06-01,2.085038661956787
2016-07-01,2.0093421936035156
2016-08-01,1.7327141761779785
2016-09-01,1.4731519222259521
2016-10-01,1.8501285314559937
2016-11-01,1.914711594581604
2016-12-01,1.8164339065551758
2017-01-01,2.535902738571167
2017-02-01,2.7349812984466553
2017-03-01,3.444122314453125
2017-04-01,3.8219895362854004
2017-05-01,2.255645990371704
2017-06-01,1.2828508615493774
2017-07-02,2.1646785736083984
2017-08-01,1.4897249937057495
2017-09-01,NA
2017-10-01,1.404624581336975
2017-11-01,1.433720588684082
2017-12-01,1.6410828828811646
2018-01-01,1.6234686374664307
2018-02-01,1.4879732131958008
2018-03-01,2.690263271331787
2018-04-01,4.682134628295898
2018-05-01,3.220585584640503
2018-06-01,3.4721860885620117
2018-07-01,3.1131680011749268
2018-08-01,NA
2018-09-01,NA
2018-10-01,1.8380568027496338
2018-11-01,2.6139283180236816
2018-12-01,3.3100810050964355
2019-01-01,3.32015323638916
2019-02-01,NA
2019-03-01,4.448933124542236
2019-04-01,4.627111434936523
2019-05-01,5.330265045166016
2019-06-01,2.518327236175537
2019-07-01,4.108198165893555
2019-08-01,3.6166532039642334
2019-09-01,NA
2019-10-01,NA
2019-10-02,NA
2019-10-03,NA
2019-10-04,NA
2019-10-05,NA
2019-10-06,NA
2019-10-07,NA
2019-10-08,NA
2019-10-09,NA
2019-10-10,NA
2019-10-11,NA
2019-10-12,NA
2019-10-13,NA
2019-10-14,NA
2019-10-15,NA
2019-10-16,NA
2019-10-17,NA
2019-10-18,NA
2019-10-19,NA
2019-10-20,NA
2019-10-21,NA
2019-10-22,NA
2019-10-23,NA
2019-10-24,NA
2019-10-25,NA
2019-10-26,NA
2019-10-27,NA
2019-10-28,NA
2019-10-29,NA
2019-10-30,NA
2019-10-31,NA
2019-11-01,NA
2019-11-02,NA
2019-11-03,NA
2019-11-04,NA
2019-11-05,NA
2019-11-06,NA
2019-11-07,NA
2019-11-08,NA
2019-11-09,NA
2019-11-10,NA
2019-11-11,NA
2019-11-12,NA
2019-11-13,NA
2019-11-14,NA
2019-11-15,NA
2019-11-16,NA
2019-11-17,0.7946000099182129
2019-11-18,0.7946000099182129
2019-11-19,0.7946000099182129
2019-11-20,0.7946000099182129
2019-11-21,0.7946000099182129
2019-11-22,0.7946000099182129
2019-11-23,0.7946000099182129
2019-11-24,1.706800103187561
2019-11-25,1.706800103187561
2019-11-26,1.706800103187561
2019-11-27,1.706800103187561
2019-11-28,1.706800103187561
2019-11-29,1.706800103187561
2019-11-30,1.706800103187561
2019-12-01,NA
2019-12-02,NA
2019-12-03,NA
2019-12-04,NA
2019-12-05,NA
2019-12-06,NA
2019-12-07,NA
2019-12-08,NA
2019-12-09,NA
2019-12-10,NA
2019-12-11,NA
2019-12-12,NA
2019-12-13,NA
2019-12-14,NA
2019-12-15,1.1790000200271606
2019-12-16,1.1790000200271606
2019-12-17,1.1790000200271606
2019-12-18,1.1790000200271606
2019-12-19,2.95466685295105
2019-12-20,2.95466685295105
2019-12-21,2.1989998817443848
2019-12-22,1.7258750200271606
2019-12-23,1.7258750200271606
2019-12-24,1.7258750200271606
2019-12-25,1.5895713567733765
2019-12-26,1.5895713567733765
2019-12-27,1.5895713567733765
2019-12-28,1.9805001020431519
2019-12-29,1.9805001020431519
2019-12-30,1.9805001020431519
2020-01-03,1.9805001020431519
2020-01-04,1.8794000148773193
2020-01-05,1.8794000148773193
2020-01-06,1.8794000148773193
2020-01-07,1.8794000148773193
2020-01-08,1.8794000148773193
2020-01-09,1.8794000148773193
2020-01-10,2.3452000617980957
2020-01-11,2.7611427307128906
2020-01-12,1.4866666793823242
2020-01-13,1.8711427450180054
2020-01-14,1.8711427450180054
2020-01-15,1.8711427450180054
2020-01-23,NA
2020-01-24,NA
2020-01-25,NA
2020-01-26,1.761222243309021
2020-01-27,2.3721001148223877
2020-01-28,2.3721001148223877
2020-01-29,2.3721001148223877
2020-01-30,2.3721001148223877
2020-01-31,2.3721001148223877
2020-02-01,2.3721001148223877
2020-02-02,2.3721001148223877
2020-02-03,1.6358333826065063
2020-02-04,1.6358333826065063
2020-02-05,1.9272501468658447
2020-02-06,1.8980000019073486
2020-02-07,1.8980000019073486
2020-02-08,1.8980000019073486
2020-02-09,1.8980000019073486
2020-02-10,1.8980000019073486
2020-02-11,2.022900104522705
2020-02-12,2.022900104522705
2020-02-13,2.022900104522705
2020-02-14,1.222666621208191
2020-02-15,1.222666621208191
2020-02-16,1.1096667051315308
2020-02-17,1.5247501134872437
2020-02-18,1.5247501134872437
2020-02-19,1.3483749628067017
2020-02-20,1.3483749628067017
2020-02-21,1.3483749628067017
2020-02-22,1.3483749628067017
2020-02-23,1.3483749628067017
2020-02-24,1.3483749628067017
2020-02-25,1.3483749628067017
2020-02-26,NA
2020-02-27,1.9241429567337036
2020-02-28,1.9241429567337036
2020-02-29,1.9241429567337036
2020-03-01,1.9241429567337036
2020-03-02,1.9241429567337036
2020-03-03,1.9241429567337036
2020-03-04,2.2720999717712402
2020-03-05,2.2720999717712402
2020-03-06,2.2720999717712402
2020-03-07,2.2720999717712402
2020-03-08,2.2720999717712402
2020-03-09,2.559000015258789
2020-03-10,2.559000015258789
2020-03-11,2.559000015258789
2020-03-12,2.559000015258789
2020-03-13,2.559000015258789
2020-03-14,0.7020000219345093
2020-03-15,0.7020000219345093
2020-03-16,0.7020000219345093
2020-03-17,1.912500023841858
2020-03-18,1.912500023841858
2020-03-19,2.7422001361846924
2020-03-20,1.465000033378601
2020-03-21,1.465000033378601
2020-03-22,2.7256669998168945
2020-03-23,2.7256669998168945
2020-03-24,3.389625072479248
2020-03-25,3.354374885559082
2020-03-26,3.354374885559082
2020-03-27,3.354374885559082
2020-03-28,3.354374885559082
2020-03-29,2.1684999465942383
2020-03-30,2.1684999465942383
2020-03-31,2.1684999465942383
2020-04-01,2.1684999465942383
2020-04-02,1.7716666460037231
2020-04-03,1.7716666460037231
2020-04-04,1.7716666460037231
2020-04-07,2.5348331928253174
2020-04-08,2.5348331928253174
2020-04-09,2.5348331928253174
2020-04-10,3.2612500190734863
2020-04-11,3.2612500190734863
2020-04-12,3.2612500190734863
2020-04-13,3.2612500190734863
2020-04-14,0.8240000009536743
2020-04-15,0.8240000009536743
2020-04-16,3.342400074005127
2020-04-17,3.342400074005127
2020-04-18,3.342400074005127
2020-04-19,3.342400074005127
2020-04-20,3.342400074005127
2020-04-21,2.823111057281494
2020-04-22,2.823111057281494
2020-04-23,1.5551427602767944
2020-04-24,1.5551427602767944
2020-04-25,3.6453750133514404
2020-04-26,4.5534281730651855
2020-04-27,4.5534281730651855
2020-04-28,3.753875255584717
2020-04-29,3.753875255584717
2020-04-30,3.311199903488159
2020-05-01,5.1595001220703125
2020-05-02,5.1595001220703125
2020-05-03,5.1595001220703125
2020-05-04,5.1595001220703125
2020-05-05,5.1595001220703125
2020-05-06,5.1595001220703125
2020-05-07,2.7871110439300537
2020-05-08,2.7871110439300537
2020-05-09,3.128142833709717
2020-05-10,3.128142833709717
2020-05-11,3.128333330154419
2020-05-12,3.128333330154419
2020-05-13,2.3174002170562744
2020-05-14,2.3174002170562744
2020-05-15,2.3174002170562744
2020-05-16,2.3174002170562744
2020-05-17,2.777111291885376
2020-05-18,2.777111291885376
2020-05-19,3.315333366394043
2020-05-20,2.8614284992218018
2020-05-21,2.8614284992218018
2020-05-22,2.8614284992218018
2020-05-23,2.1701998710632324
2020-05-24,2.1701998710632324
2020-05-25,2.1701998710632324
2020-05-26,2.1701998710632324
2020-05-27,2.1701998710632324
2020-05-28,4.470666885375977
2020-05-29,3.706599712371826
2020-05-30,3.706599712371826
2020-05-31,3.706599712371826
2020-06-01,3.706599712371826
2020-06-02,3.706599712371826
2020-06-03,3.706599712371826
2020-06-04,1.3564999103546143
2020-06-05,1.3564999103546143
2020-06-06,1.3564999103546143
2020-06-07,1.3564999103546143
2020-06-08,1.3564999103546143
2020-06-09,1.3564999103546143
2020-06-10,NA
2020-06-11,NA
2020-06-12,0.5456666350364685
2020-06-13,0.5456666350364685
2020-06-14,0.5456666350364685
2020-06-15,0.5456666350364685
2020-06-16,0.5456666350364685
2020-06-17,0.5456666350364685
2020-06-18,0.5456666350364685
2020-06-19,1.3347500562667847
2020-06-20,1.3347500562667847
2020-06-21,1.3347500562667847
2020-06-22,1.3347500562667847
2020-06-23,1.3347500562667847
2020-06-24,1.3347500562667847
2020-06-25,1.3347500562667847
2020-06-26,NA
2020-06-27,NA
2020-06-28,NA
2020-06-29,NA
2020-06-30,NA
2020-07-01,NA
2020-07-02,NA
2020-07-03,NA
2020-07-04,NA
