date,chlor_a
2012-01-02,NA
2012-02-01,2.5883541107177734
2012-03-01,2.0478262901306152
2012-04-01,NA
2012-05-01,NA
2012-06-01,3.8664605617523193
2012-07-01,NA
2012-08-01,NA
2012-09-01,NA
2012-10-01,NA
2012-11-01,NA
2012-12-01,3.8905110359191895
2013-01-01,3.5765340328216553
2013-02-01,NA
2013-03-01,NA
2013-04-01,2.7223100662231445
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,NA
2013-10-01,NA
2013-11-01,3.5985164642333984
2013-12-01,4.296810626983643
2014-01-01,2.67824125289917
2014-02-01,3.79314923286438
2014-03-01,NA
2014-04-01,NA
2014-05-01,NA
2014-06-01,NA
2014-07-01,NA
2014-08-01,NA
2014-09-01,NA
2014-10-01,NA
2014-11-01,NA
2014-12-01,4.611025810241699
2015-01-01,NA
2015-02-01,NA
2015-03-01,NA
2015-04-01,2.649052143096924
2015-05-01,NA
2015-06-01,NA
2015-07-01,NA
2015-08-01,NA
2015-09-01,6.407385349273682
2015-10-01,3.4200637340545654
2015-11-01,3.028144598007202
2015-12-01,NA
2016-01-01,2.7738566398620605
2016-02-01,2.5899384021759033
2016-03-01,NA
2016-04-01,NA
2016-05-01,NA
2016-06-01,2.7995705604553223
2016-07-01,NA
2016-08-01,NA
2016-09-01,NA
2016-10-01,NA
2016-11-01,NA
2016-12-01,5.213540554046631
2017-01-01,3.9690613746643066
2017-02-01,2.495030403137207
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-02,NA
2017-08-01,NA
2017-09-01,3.181659698486328
2017-10-01,2.445996046066284
2017-11-01,7.703980445861816
2017-12-01,3.7523112297058105
2018-01-01,NA
2018-02-01,NA
2018-03-01,NA
2018-04-01,2.4190173149108887
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,3.8466756343841553
2018-11-01,5.771605968475342
2018-12-01,4.063104152679443
2019-01-01,7.340560436248779
2019-02-01,3.67283034324646
2019-03-01,3.5643763542175293
2019-04-01,4.029629230499268
2019-05-01,NA
2019-06-01,7.34049654006958
2019-07-01,NA
2019-08-01,4.2659454345703125
