date,chlor_a
2012-01-02,NA
2012-02-01,NA
2012-03-01,7.442944049835205
2012-04-01,NA
2012-05-01,NA
2012-06-01,NA
2012-07-01,NA
2012-08-01,NA
2012-09-01,NA
2012-10-01,10.574000358581543
2012-11-01,7.20258092880249
2012-12-01,3.7122604846954346
2013-01-01,3.205749988555908
2013-02-01,3.7723464965820312
2013-03-01,3.6916580200195312
2013-04-01,NA
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,16.392333984375
2013-10-01,14.078960418701172
2013-11-01,8.882586479187012
2013-12-01,NA
2014-01-01,NA
2014-02-01,6.912740707397461
2014-03-01,NA
2014-04-01,NA
2014-05-01,12.789283752441406
2014-06-01,NA
2014-07-01,NA
2014-08-01,NA
2014-09-01,NA
2014-10-01,10.7330322265625
2014-11-01,5.542339324951172
2014-12-01,6.769794464111328
2015-01-01,5.224828720092773
2015-02-01,NA
2015-03-01,3.5157217979431152
2015-04-01,NA
2015-05-01,NA
2015-06-01,NA
2015-07-01,NA
2015-08-01,NA
2015-09-01,NA
2015-10-01,NA
2015-11-01,6.335237979888916
2015-12-01,10.362013816833496
2016-01-01,11.404674530029297
2016-02-01,5.347827434539795
2016-03-01,NA
2016-04-01,NA
2016-05-01,NA
2016-06-01,12.767200469970703
2016-07-01,3.694547176361084
2016-08-01,NA
2016-09-01,NA
2016-10-01,5.982243061065674
2016-11-01,NA
2016-12-01,6.710440158843994
2017-01-01,4.618163108825684
2017-02-01,NA
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-02,NA
2017-08-01,NA
2017-09-01,3.8456499576568604
2017-10-01,25.915603637695312
2017-11-01,5.04957914352417
2017-12-01,13.199338912963867
2018-01-01,NA
2018-02-01,6.204661846160889
2018-03-01,5.653016090393066
2018-04-01,NA
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,25.939453125
2018-12-01,10.022134780883789
2019-01-01,4.782902717590332
2019-02-01,9.069973945617676
2019-03-01,NA
2019-04-01,NA
2019-05-01,NA
2019-06-01,NA
