date,chlor_a
2017-02-16,NaN
2017-02-17,NaN
2017-02-18,NaN
2017-02-19,NaN
2017-02-20,NaN
2017-02-21,NaN
2017-02-22,NaN
2017-02-23,NaN
2017-02-24,NaN
2017-02-25,NaN
2017-02-26,NaN
2017-02-27,NaN
2017-02-28,NaN
2017-03-01,NaN
2017-03-02,NaN
2017-03-03,NaN
2017-03-04,NaN
2017-03-05,NaN
2017-03-06,NaN
2017-03-07,NaN
2017-03-08,NaN
2017-03-09,NaN
2017-03-10,NaN
2017-03-11,NaN
2017-03-12,NaN
2017-03-13,NaN
2017-03-14,NaN
2017-03-15,NaN
2017-03-16,NaN
2017-03-17,NaN
2017-03-18,NaN
2017-03-19,NaN
2017-03-20,NaN
2017-03-21,NaN
2017-06-14,NaN
2017-06-15,NaN
2017-06-16,NaN
2017-06-17,NaN
2017-06-18,NaN
2017-06-19,NaN
2017-06-20,NaN
2017-06-21,NaN
2017-06-22,NaN
2017-06-23,NaN
2017-06-24,NaN
2017-06-25,NaN
2017-06-26,NaN
2017-06-27,NaN
2017-06-28,NaN
2017-06-29,NaN
2017-07-04,NaN
2017-07-05,NaN
2017-07-06,NaN
2017-07-07,NaN
2017-07-08,NaN
2017-07-09,NaN
2017-07-10,NaN
2017-07-11,NaN
2017-07-12,NaN
2017-07-13,NaN
2017-07-14,NaN
2017-07-15,NaN
2017-07-16,NaN
2017-07-17,NaN
2017-07-18,NaN
2017-07-19,NaN
2017-07-20,NaN
2017-07-21,NaN
2017-07-22,NaN
2017-07-23,NaN
2017-07-24,NaN
2017-07-25,NaN
2017-07-26,NaN
2017-07-27,NaN
2017-07-28,NaN
2017-07-29,NaN
2017-07-30,NaN
2017-07-31,NaN
2017-08-07,NaN
2017-08-08,NaN
2017-08-09,NaN
2017-08-10,NaN
2017-08-11,NaN
2017-08-12,NaN
2017-08-13,NaN
2017-08-14,NaN
2017-08-15,NaN
2017-08-16,NaN
2017-08-17,NaN
2017-08-18,NaN
2017-08-19,NaN
2017-08-20,NaN
2017-08-21,NaN
2017-08-22,NaN
2017-08-23,NaN
2017-08-24,NaN
2017-08-25,NaN
2017-08-26,NaN
2017-08-27,NaN
2017-08-28,NaN
2017-08-29,NaN
2017-08-30,NaN
2017-08-31,NaN
2017-09-01,NaN
2017-09-02,NaN
2017-09-03,NaN
2017-09-04,NaN
2017-09-05,NaN
2017-09-06,NaN
2017-09-07,NaN
2017-09-08,NaN
2017-09-11,NaN
2017-09-12,NaN
2017-09-13,NaN
2017-09-14,NaN
2017-09-15,NaN
2017-09-16,NaN
2017-09-17,NaN
2017-09-18,NaN
2017-09-19,NaN
2017-09-20,NaN
2017-09-21,NaN
2017-09-22,NaN
2017-09-23,NaN
2017-09-24,NaN
2017-09-25,NaN
2017-09-26,NaN
2017-09-27,NaN
2017-09-28,NaN
2017-09-29,NaN
2017-09-30,NaN
2017-10-01,NaN
2017-10-02,NaN
2017-10-03,NaN
2017-10-04,NaN
2017-10-05,NaN
2017-10-06,NaN
2017-10-07,NaN
2017-10-08,NaN
2017-10-09,NaN
2017-10-10,NaN
2017-10-11,NaN
2017-10-12,NaN
2017-10-13,NaN
2017-10-14,NaN
2017-10-15,NaN
2017-10-16,NaN
2017-10-17,NaN
2017-10-18,NaN
2017-10-19,NaN
2017-10-20,NaN
2017-10-21,NaN
2017-10-22,NaN
2017-10-23,NaN
2017-10-24,NaN
2017-11-02,NaN
2017-11-03,NaN
2017-11-04,NaN
2017-11-05,NaN
2017-11-06,NaN
2017-11-07,NaN
2017-11-08,NaN
2017-11-09,NaN
2017-11-10,NaN
2017-11-11,NaN
2017-11-12,NaN
2017-11-13,NaN
2017-11-14,NaN
2017-11-15,NaN
2017-11-16,NaN
2017-11-18,NaN
2017-11-19,NaN
2017-11-20,NaN
2017-11-21,NaN
2017-11-22,NaN
2017-11-23,NaN
2017-11-25,NaN
2017-11-26,NaN
2017-11-27,NaN
2017-12-03,NaN
2017-12-04,NaN
2017-12-05,NaN
2017-12-06,NaN
2017-12-07,NaN
2017-12-08,NaN
2017-12-09,NaN
2017-12-10,NaN
2017-12-11,NaN
2017-12-12,NaN
2017-12-13,NaN
2017-12-14,NaN
2017-12-28,NaN
2017-12-29,NaN
2017-12-30,NaN
2017-12-31,NaN
2018-01-01,NaN
2018-01-02,NaN
2018-01-03,NaN
2018-01-04,NaN
2018-01-05,NaN
2018-01-06,NaN
2018-01-07,NaN
2018-01-08,NaN
2018-01-09,NaN
2018-01-10,NaN
2018-01-11,NaN
2018-01-12,NaN
2018-01-13,NaN
2018-01-29,NaN
2018-01-30,NaN
2018-01-31,NaN
2018-02-01,NaN
2018-02-02,NaN
2018-02-03,NaN
2018-02-04,NaN
2018-02-05,NaN
2018-02-06,NaN
2018-02-07,NaN
2018-02-08,NaN
2018-02-09,NaN
2018-02-10,NaN
2018-02-11,NaN
2018-02-12,NaN
2018-02-13,NaN
2018-02-14,NaN
2018-02-15,NaN
2018-02-16,NaN
2018-02-17,NaN
2018-02-18,NaN
2018-02-19,NaN
2018-02-20,NaN
2018-03-14,NaN
2018-03-15,7.133250713348389
2018-03-16,7.965666770935059
2018-03-17,17.264625549316406
2018-03-18,17.264625549316406
2018-03-19,16.93706703186035
2018-03-20,16.93706703186035
2018-03-21,5.338187217712402
2018-03-22,5.338187217712402
2018-03-23,5.338187217712402
2018-03-24,2.320625066757202
2018-03-25,2.320625066757202
2018-03-26,2.320625066757202
2018-03-27,2.320625066757202
2018-03-28,2.320625066757202
2018-03-29,2.320625066757202
2018-03-30,2.320625066757202
2018-03-31,NaN
2018-04-01,NaN
2018-04-02,3.576000213623047
2018-04-03,3.576000213623047
2018-04-04,3.576000213623047
2018-04-05,3.576000213623047
2018-04-06,3.576000213623047
2018-04-07,3.576000213623047
2018-04-08,3.576000213623047
2018-04-09,NaN
2018-04-10,NaN
2018-04-11,NaN
2018-04-12,NaN
2018-04-13,NaN
2018-04-14,NaN
2018-04-15,NaN
2018-04-16,NaN
2018-04-17,NaN
2018-04-18,NaN
2018-04-19,NaN
2018-04-20,NaN
2018-04-21,11.35521411895752
2018-04-22,9.2819366455078125
2018-04-23,8.22293758392334
2018-04-24,8.22293758392334
2018-04-25,7.517375469207764
2018-04-26,8.00937557220459
2018-04-27,8.00937557220459
2018-04-28,8.00937557220459
2018-04-29,8.00937557220459
2018-04-30,8.00937557220459
2018-05-01,4.647750377655029
2018-05-02,3.678187131881714
2018-05-03,3.678187131881714
2018-05-04,3.678187131881714
2018-05-05,5.1385626792907715
2018-05-06,8.084249496459961
